2026-04-22 00:04:51 | INFO    | src.csv_builder | CSV gerado: /app/CSV/10440482/10440482.csv (13 linhas)
2026-04-22 00:04:51 | INFO    | src.institution_processor | ==> Instituição 10573521 (13 arquivo(s))
2026-04-22 00:04:51 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-10573521.pdf (0.87 MB)
2026-04-22 00:04:55 | INFO    | src.gemini_client | Arquivo pronto: files/uh4vts67q1mv (estado=ACTIVE)
2026-04-22 00:05:46 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-10573521.pdf (2.48 MB)
2026-04-22 00:05:50 | INFO    | src.gemini_client | Arquivo pronto: files/ltzk9pj02kd1 (estado=ACTIVE)
2026-04-22 00:06:33 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-10573521.pdf (1.00 MB)
2026-04-22 00:06:36 | INFO    | src.gemini_client | Arquivo pronto: files/0slp2zvxsdo2 (estado=ACTIVE)
2026-04-22 00:07:26 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-10573521.pdf (1.01 MB)
2026-04-22 00:07:29 | INFO    | src.gemini_client | Arquivo pronto: files/0dok5i33uc3j (estado=ACTIVE)
2026-04-22 00:08:24 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-10573521.pdf (0.61 MB)
2026-04-22 00:08:27 | INFO    | src.gemini_client | Arquivo pronto: files/jxd8eqjmc162 (estado=ACTIVE)
2026-04-22 00:09:14 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-10573521.pdf (0.52 MB)
2026-04-22 00:09:17 | INFO    | src.gemini_client | Arquivo pronto: files/pp23k23qvin1 (estado=ACTIVE)
2026-04-22 00:10:18 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-10573521.pdf (0.78 MB)
2026-04-22 00:10:21 | INFO    | src.gemini_client | Arquivo pronto: files/kjc7bqykyg7f (estado=ACTIVE)
2026-04-22 00:11:04 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-10573521.pdf (4.26 MB)
2026-04-22 00:11:07 | INFO    | src.gemini_client | Arquivo pronto: files/1z5ao0upl7fn (estado=ACTIVE)
2026-04-22 00:12:05 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-10573521.pdf (2.09 MB)
2026-04-22 00:12:08 | INFO    | src.gemini_client | Arquivo pronto: files/z847u6fkb9y1 (estado=ACTIVE)
2026-04-22 00:12:59 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-10573521.pdf (0.55 MB)
2026-04-22 00:13:02 | INFO    | src.gemini_client | Arquivo pronto: files/gt5wnvw9694s (estado=ACTIVE)
2026-04-22 00:14:04 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-10573521.pdf (5.53 MB)
2026-04-22 00:14:09 | INFO    | src.gemini_client | Arquivo pronto: files/79j8kr6nrt3s (estado=ACTIVE)
2026-04-22 00:14:58 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-10573521.pdf (7.91 MB)
2026-04-22 00:15:05 | INFO    | src.gemini_client | Arquivo pronto: files/s3qpjbnz0f34 (estado=ACTIVE)
2026-04-22 00:16:08 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-10573521.pdf (7.03 MB)
2026-04-22 00:16:12 | INFO    | src.gemini_client | Arquivo pronto: files/a3bpt8cvd9ty (estado=ACTIVE)
2026-04-22 00:17:03 | INFO    | src.csv_builder | CSV gerado: /app/CSV/10573521/10573521.csv (13 linhas)
2026-04-22 00:17:03 | INFO    | src.institution_processor | ==> Instituição 10878448 (13 arquivo(s))
2026-04-22 00:17:03 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-10878448.pdf (0.92 MB)
2026-04-22 00:17:06 | INFO    | src.gemini_client | Arquivo pronto: files/aj1eaejle5sj (estado=ACTIVE)
2026-04-22 00:17:48 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-10878448.pdf (1.71 MB)
2026-04-22 00:17:52 | INFO    | src.gemini_client | Arquivo pronto: files/lmnjcx0d5z6s (estado=ACTIVE)
2026-04-22 00:18:34 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-10878448.pdf (0.89 MB)
2026-04-22 00:18:37 | INFO    | src.gemini_client | Arquivo pronto: files/lyu8e3k5esob (estado=ACTIVE)
2026-04-22 00:19:24 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-10878448.pdf (0.69 MB)
2026-04-22 00:19:27 | INFO    | src.gemini_client | Arquivo pronto: files/12ptzysfj25p (estado=ACTIVE)
2026-04-22 00:20:07 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-10878448.pdf (0.88 MB)
2026-04-22 00:20:11 | INFO    | src.gemini_client | Arquivo pronto: files/o90l60goilad (estado=ACTIVE)
2026-04-22 00:21:04 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-10878448.pdf (0.83 MB)
2026-04-22 00:21:06 | INFO    | src.gemini_client | Arquivo pronto: files/v31w5rgzr336 (estado=ACTIVE)
2026-04-22 00:21:51 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-10878448.pdf (1.27 MB)
2026-04-22 00:21:54 | INFO    | src.gemini_client | Arquivo pronto: files/7kvt74n33s04 (estado=ACTIVE)
2026-04-22 00:22:44 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-10878448.pdf (0.72 MB)
2026-04-22 00:22:47 | INFO    | src.gemini_client | Arquivo pronto: files/396tfb8c2tih (estado=ACTIVE)
2026-04-22 00:23:29 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-10878448.pdf (0.70 MB)
2026-04-22 00:23:32 | INFO    | src.gemini_client | Arquivo pronto: files/4prlcpv0488x (estado=ACTIVE)
2026-04-22 00:24:16 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-10878448.pdf (0.77 MB)
