bloco,escopo,nivel,descricao,valor,cnpj,periodo
DMPL,IND,7,Retenção de lucros,0.0,01027058,2020-12-31
DMPL,IND,7.1,Lucro líquido do período,490249000.0,01027058,2020-12-31
DMPL,IND,7.2,Reserva legal,-11247000.0,01027058,2020-12-31
DMPL,IND,7.3,Juros sobre o capital próprio proposto,-151470000.0,01027058,2020-12-31
DMPL,IND,7.4,Juros sobre o capital próprio pagos,0.0,01027058,2020-12-31
DMPL,IND,7.5,Dividendos pagos,0.0,01027058,2020-12-31
DMPL,IND,7.6,Dividendos proposto,-14951000.0,01027058,2020-12-31
DMPL,IND,7.7,Reserva de orçamento de capital,-312581000.0,01027058,2020-12-31
DMPL,IND,8,Outros resultados abrangentes,-223767000.0,01027058,2020-12-31
DMPL,IND,8.1,Variação cambial sobre investimento líquido no exterior,-250349000.0,01027058,2020-12-31
DMPL,IND,8.2,Benefício pós emprego,13866000.0,01027058,2020-12-31
DMPL,IND,9,Total de participação dos acionistas controladores,9490854000.0,01027058,2020-12-31
DMPL,IND,9.1,Aquisição de ações em tesouraria,-40214000.0,01027058,2020-12-31
DMPL,IND,9.2,Ações restritas outorgadas,13468000.0,01027058,2020-12-31
DMPL,IND,9.3,Lucro líquido do período,490249000.0,01027058,2020-12-31
DMPL,IND,9.4,Juros sobre o capital próprio proposto,-151470000.0,01027058,2020-12-31
DMPL,IND,9.5,Juros sobre o capital próprio pagos,0.0,01027058,2020-12-31
DMPL,IND,9.6,Dividendos pagos,0.0,01027058,2020-12-31
DMPL,IND,9.7,Dividendos proposto,-14951000.0,01027058,2020-12-31
DMPL,IND,9.8,Variação cambial sobre investimento líquido no exterior,-250349000.0,01027058,2020-12-31
DMPL,IND,9.9,Benefício pós emprego,13866000.0,01027058,2020-12-31
DMPL,IND,10,Participação de outros acionistas que não a Cielo,3114858000.0,01027058,2020-12-31
DMPL,IND,10.1,Lucro líquido do período,141264000.0,01027058,2020-12-31
DMPL,IND,10.2,Efeito dos outros acionistas que não a Cielo sobre entidades consolidadas,-698731000.0,01027058,2020-12-31
DMPL,IND,11,Total do Patrimônio líquido,12605712000.0,01027058,2020-12-31
DMPL,IND,11.1,Aquisição de ações em tesouraria,-40214000.0,01027058,2020-12-31
DMPL,IND,11.2,Ações restritas outorgadas,13468000.0,01027058,2020-12-31
DMPL,IND,11.3,Lucro líquido do período,631513000.0,01027058,2020-12-31
DMPL,IND,11.4,Juros sobre o capital próprio proposto,-151470000.0,01027058,2020-12-31
DMPL,IND,11.5,Juros sobre o capital próprio pagos,0.0,01027058,2020-12-31
DMPL,IND,11.6,Dividendos pagos,0.0,01027058,2020-12-31
DMPL,IND,11.7,Dividendos proposto,-14951000.0,01027058,2020-12-31
DMPL,IND,11.8,Variação cambial sobre investimento líquido no exterior,-250349000.0,01027058,2020-12-31
DMPL,IND,11.9,Benefício pós emprego,13866000.0,01027058,2020-12-31
DMPL,IND,11.10,Efeito dos outros acionistas que não a Cielo sobre entidades consolidadas,-698731000.0,01027058,2020-12-31
BP,IND,1,Total do Ativo,66769913000.0,01425787,2020-12-31
BP,IND,1.1,Circulante e Não Circulante,65363681000.0,01425787,2020-12-31
BP,IND,1.1.1,Disponibilidades,506537000.0,01425787,2020-12-31
BP,IND,1.1.2,Aplicações Interfinanceiras de Liquidez,2403910000.0,01425787,2020-12-31
BP,IND,1.1.2.1,Aplicações no Mercado Aberto,2403910000.0,01425787,2020-12-31
BP,IND,1.1.3,Títulos e Valores Mobiliários,1228177000.0,01425787,2020-12-31
BP,IND,1.1.3.1,Carteira Própria,1228177000.0,01425787,2020-12-31
BP,IND,1.1.4,Relações Interfinanceiras,60740683000.0,01425787,2020-12-31
BP,IND,1.1.5,Outros Créditos,452391000.0,01425787,2020-12-31
BP,IND,1.1.5.1,Ativos Fiscais Correntes,118232000.0,01425787,2020-12-31
BP,IND,1.1.5.2,Ativos Fiscais Diferidos,115451000.0,01425787,2020-12-31
BP,IND,1.1.5.3,Diversos,218708000.0,01425787,2020-12-31
BP,IND,1.1.6,Outros Valores e Bens,31983000.0,01425787,2020-12-31
BP,IND,1.1.6.1,Despesas Antecipadas,31983000.0,01425787,2020-12-31
BP,IND,1.2,Permanente,1406232000.0,01425787,2020-12-31
BP,IND,1.2.1,Investimentos,677278000.0,01425787,2020-12-31
BP,IND,1.2.1.1,Participações em Controladas e Coligadas,677006000.0,01425787,2020-12-31
BP,IND,1.2.1.2,Outros Investimentos,1653000.0,01425787,2020-12-31
BP,IND,1.2.1.3,(Provisões para Perdas),-1381000.0,01425787,2020-12-31
BP,IND,1.2.2,Imobilizado,533132000.0,01425787,2020-12-31
BP,IND,1.2.2.1,Outras Imobilizações,1537937000.0,01425787,2020-12-31
BP,IND,1.2.2.2,(Depreciações Acumuladas),-1004805000.0,01425787,2020-12-31
BP,IND,1.2.3,Ágio e Intangível,195822000.0,01425787,2020-12-31
BP,IND,1.2.3.1,Ativos Intangíveis,13093250000.0,01425787,2020-12-31
BP,IND,1.2.3.2,(Amortização Acumulada),-12897428000.0,01425787,2020-12-31
BP,IND,2,Total do Passivo e do Patrimônio Líquido,66769913000.0,01425787,2020-12-31
BP,IND,2.1,Circulante e Não Circulante,49443910000.0,01425787,2020-12-31
BP,IND,2.1.1,Relações Interfinanceiras,11408797000.0,01425787,2020-12-31
BP,IND,2.1.1.1,Transações de Pagamentos,11408797000.0,01425787,2020-12-31
